STATION,NAME,DATE,AWND,PRCP,TMAX,TMIN
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-23-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-24-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",10-31-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-02-10,,0.12,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-08-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-09-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-12-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-13-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-17-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-20-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-22-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-23-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-24-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",11-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-08-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",12-09-10,,0,,
